Id,Key,Name,Category,Symbol,Abstract,Url,DetailUrl,RateUrl,Rating,TopEffect,TopMedical,TopActivity
21391,millennium,Millennium,Hybrid,Ml,"Named after the idea that it will be around for many years, millennium is a balanced hybrid with 75% indica from the mountains of Iran crossed 25 percent with a Niagara/Shiva sativa. Easy to grow indoors and outdoors.",http://www.leafly.com/hybrid/millennium,http://www.leafly.com/api/details/millennium,http://www.leafly.com/me/create/millennium,8,Creative,Pain,N/A
71,misty-kush,Misty Kush,Indica,Msk,,http://www.leafly.com/indica/misty-kush,http://www.leafly.com/api/details/misty-kush,http://www.leafly.com/me/create/misty-kush,8.2,Happy,Pain,Meditate
10,mk-ultra,MK Ultra,Indica,Mk,"A very strong variety of cannabis indica.  Named after mind control experiments done by the government, this strain will definitely control your mind.",http://www.leafly.com/indica/mk-ultra,http://www.leafly.com/api/details/mk-ultra,http://www.leafly.com/me/create/mk-ultra,8.7,Lazy,Stress,Relax at home
5176,moby-dick,Moby Dick,Sativa,Mob,,http://www.leafly.com/sativa/moby-dick,http://www.leafly.com/api/details/moby-dick,http://www.leafly.com/me/create/moby-dick,7.7,Euphoric,Stress,Listen to music
108,morning-star,Morning Star,Hybrid,Ms,"Morning Star has as much as 24% THC content, provides an uplifting and mind-expanding high.",http://www.leafly.com/hybrid/morning-star,http://www.leafly.com/api/details/morning-star,http://www.leafly.com/me/create/morning-star,7.9,Uplifted,Anxiety,Hang with friends
3,mr-nice,Mr. Nice,Hybrid,Mr,Mr. Nice is named in honor of Howard Marks who was one of the biggest marijuana smugglers of our time.  This indica-dominant cannabis strain has extremely dense buds with a sweet smell.  An easy smoke that provides a strong and very mellow high.,http://www.leafly.com/hybrid/mr-nice,http://www.leafly.com/api/details/mr-nice,http://www.leafly.com/me/create/mr-nice,8,Euphoric,Stress,Relax at home
959,nebula,Nebula,Hybrid,Neb,Nebula is an award winning cannabis strain with a psychedelic buzz and honey filled smell and taste.,http://www.leafly.com/hybrid/nebula,http://www.leafly.com/api/details/nebula,http://www.leafly.com/me/create/nebula,8.5,Euphoric,Stress,Meditate
1437,neptune-kush,Neptune Kush,Indica,Nk,,http://www.leafly.com/indica/neptune-kush,http://www.leafly.com/api/details/neptune-kush,http://www.leafly.com/me/create/neptune-kush,7.6,Euphoric,PMS,Study
253,neptune-og,Neptune OG,Indica,Nog,,http://www.leafly.com/indica/neptune-og,http://www.leafly.com/api/details/neptune-og,http://www.leafly.com/me/create/neptune-og,9.2,Focused,Stress,Watch a movie
352,nevilles-haze,Neville's Haze,Hybrid,Nhz,Neville's Haze won the Cannabis Cup in 1998 and has a THC content up to 21%.,http://www.leafly.com/hybrid/nevilles-haze,http://www.leafly.com/api/details/nevilles-haze,http://www.leafly.com/me/create/nevilles-haze,8.3,Euphoric,Stress,Watch a movie
